CODIGO,nombre,CATEGORIA,FECHA_INSTALACION,altitud,latitud,longitud,FECHA_SUSPENSION,ENTIDAD
26090740,ESMERALDA LA  [26090740],Pluviométrica,1978-03-15 00:00:00,1010.0,3.61666667,-76.25,,ESTACIONES PARTICULARES
26090750,GALICIA  [26090750],Pluviométrica,1973-02-15 00:00:00,1009.0,3.68333333,-76.28333332999999,,ESTACIONES PARTICULARES
26090760,PRIMAVERA LA  [26090760],Pluviométrica,1977-04-15 00:00:00,1062.0,3.6666666699999997,-76.26666666999999,,ESTACIONES PARTICULARES
26090770,SELVA LA  [26090770],Pluviográfica,1979-05-15 00:00:00,1800.0,3.6666666699999997,-76.3,,FEDERACION NACIONAL DE CAFETEROS
26090780,PORVENIR 1 EL  [26090780],Pluviométrica,1968-02-15 00:00:00,1100.0,3.61666667,-76.25,,ESTACIONES PARTICULARES
26090790,ACDTO BUGA  [26090790],Pluviográfica,1978-07-15 00:00:00,960.0,3.88333333,-76.26666666999999,,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090800,VINCULO EL  [26090800],Pluviométrica,1969-02-15 00:00:00,979.0,3.86666667,-76.28333332999999,1987-01-15 00:00:00,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090810,CASETEJA  [26090810],Pluviométrica,1969-09-15 00:00:00,3520.0,3.48333333,-76.06666666999999,,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090820,STA TERESA  [26090820],Pluviométrica,1969-06-15 00:00:00,3690.0,3.48333333,-76.05,,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090830,LOS TAMBOS - AUT [26090830],Limnigráfica,2017-06-30 19:00:00,1680.0,3.51757778,-76.14958889,,CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090840,TENERIFE - AUT [26090840],Limnigráfica,2017-06-30 19:00:00,2609.0,3.7304777799999997,-76.08025,,CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090880,AUSTRIA  [26090880],Pluviométrica,1969-10-15 00:00:00,1750.0,3.58333333,-76.18333333,,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090890,BETULIA LA  [26090890],Pluviométrica,1969-12-15 00:00:00,2600.0,3.53333333,-76.11666667,1982-08-15 00:00:00,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090900,OLGA LA  [26090900],Pluviométrica,1958-01-15 00:00:00,1028.0,3.6,-76.35,,ESTACIONES PARTICULARES
26090910,STA ANITA  [26090910],Pluviométrica,1968-05-15 00:00:00,1036.0,3.6,-76.33333332999999,,ESTACIONES PARTICULARES
26090920,FLORENCIA  [26090920],Pluviométrica,1959-05-15 00:00:00,980.0,3.58333333,-76.35,,ESTACIONES PARTICULARES
26090930,PICHICHI  [26090930],Pluviométrica,1969-01-15 00:00:00,1029.0,3.78333333,-76.28333332999999,,ESTACIONES PARTICULARES
26095010,SELVA LA  [26095010],Meteorológica Especial,1979-05-15 00:00:00,1800.0,3.75,-76.2,,FEDERACION NACIONAL DE CAFETEROS
26095020,ING PICHICHI  [26095020],Climática Ordinaria,1930-03-15 00:00:00,1043.0,3.7666666699999998,-76.26666666999999,1952-09-15 00:00:00,ESTACIONES PARTICULARES
26095030,CENTRO EL  [26095030],Climática Ordinaria,1931-10-15 00:00:00,1088.0,4.08333333,-76.25,1934-05-15 00:00:00,MINISTERIO DE LA ECONOMIA
26095040,AGRICOLA GJA  [26095040],Climática Ordinaria,1937-03-15 00:00:00,969.0,3.9166666699999997,-76.3,1959-11-15 00:00:00,MINISTERIO DE LA ECONOMIA
26095050,EST DE ALGODON  [26095050],Climática Ordinaria,1939-04-15 00:00:00,1200.0,3.9,-76.28333332999999,1944-04-15 00:00:00,MINISTERIO DE AGRICULTURA
26095060,BARRAGAN  [26095060],Climática Ordinaria,1941-02-15 00:00:00,1000.0,4.08333333,-76.21666667,1948-04-15 00:00:00,MINISTERIO DE AGRICULTURA
26095070,PIEDECHINCHE  [26095070],Climática Ordinaria,1946-08-15 00:00:00,1000.0,3.7,-76.31666666999999,1949-09-15 00:00:00,MINISTERIO DE AGRICULTURA
26095080,TENERIFE [26095080],Climática Ordinaria,1971-01-15 00:00:00,2628.0,3.7299722199999996,-76.07477778,,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
26095090,AGRICOLA GJA  [26095090],Climática Ordinaria,1949-05-15 00:00:00,1088.0,4.08333333,-76.23333333,1955-05-15 00:00:00,MINISTERIO DE AGRICULTURA
26095100,ING PROVIDENCIA  [26095100],Climática Ordinaria,1961-01-15 00:00:00,1100.0,3.61666667,-76.28333332999999,,ESTACIONES PARTICULARES
26095110,ICA-BALBOA [26095110],Climática Ordinaria,1961-11-15 00:00:00,960.0,3.93333333,-76.3,1997-01-15 00:00:00,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
26095120,LORENA  [26095120],Climática Ordinaria,1964-01-15 00:00:00,1128.0,3.7666666699999998,-76.25,,ESTACIONES PARTICULARES
26095130,CAPRI  [26095130],Climática Ordinaria,1964-01-15 00:00:00,999.0,3.6666666699999997,-76.3,,ESTACIONES PARTICULARES
26095140,SAN JERONIMO  [26095140],Climática Ordinaria,1964-01-15 00:00:00,1000.0,3.63333333,-76.33333332999999,,ESTACIONES PARTICULARES
26095150,AURORA  [26095150],Meteorológica Especial,1964-01-15 00:00:00,1015.0,3.68333333,-76.28333332999999,,ESTACIONES PARTICULARES
